driver,stop,value,condition,compound,lap,race_assignment,race,year
BOT,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
HAM,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
VER,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
VET,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
LEC,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
MAG,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
HUL,0,C4n,new,C4,0,soft,Australian Grand Prix,2019
RAI,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
STR,0,C3n,new,C3,0,medium,Australian Grand Prix,2019
KVY,0,C3n,new,C3,0,medium,Australian Grand Prix,2019
GAS,0,C3n,new,C3,0,medium,Australian Grand Prix,2019
NOR,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
PER,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
ALB,0,C4n,new,C4,0,soft,Australian Grand Prix,2019
GIO,0,C3n,new,C3,0,medium,Australian Grand Prix,2019
RUS,0,C3n,new,C3,0,medium,Australian Grand Prix,2019
KUB,0,C2n,new,C2,0,hard,Australian Grand Prix,2019
GRO,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
RIC,0,C4n,new,C4,0,soft,Australian Grand Prix,2019
SAI,0,C4n,new,C4,0,soft,Australian Grand Prix,2019
BOT,1,C3n (23),new,C3,23,medium,Australian Grand Prix,2019
HAM,1,C3n (15),new,C3,15,medium,Australian Grand Prix,2019
VER,1,C3n (25),new,C3,25,medium,Australian Grand Prix,2019
VET,1,C3n (14),new,C3,14,medium,Australian Grand Prix,2019
LEC,1,C2n (28),new,C2,28,hard,Australian Grand Prix,2019
MAG,1,C3n (14),new,C3,14,medium,Australian Grand Prix,2019
HUL,1,C2n (13),new,C2,13,hard,Australian Grand Prix,2019
RAI,1,C3n (12),new,C3,12,medium,Australian Grand Prix,2019
STR,1,C2n (27),new,C2,27,hard,Australian Grand Prix,2019
KVY,1,C2u (26),used,C2,26,hard,Australian Grand Prix,2019
GAS,1,C4n (37),new,C4,37,soft,Australian Grand Prix,2019
NOR,1,C2n (15),new,C2,15,hard,Australian Grand Prix,2019
PER,1,C2n (13),new,C2,13,hard,Australian Grand Prix,2019
ALB,1,C3n (14),new,C3,14,medium,Australian Grand Prix,2019
GIO,1,C4n (27),new,C4,27,soft,Australian Grand Prix,2019
RUS,1,C4n (26),new,C4,26,soft,Australian Grand Prix,2019
KUB,1,C3n (1),new,C3,1,medium,Australian Grand Prix,2019
GRO,1,C3n (15),new,C3,15,medium,Australian Grand Prix,2019
RIC,1,C2n (1),new,C2,1,hard,Australian Grand Prix,2019
RUS,2,C2n (42),new,C2,42,hard,Australian Grand Prix,2019
KUB,2,C4n (28),new,C4,28,soft,Australian Grand Prix,2019
KUB,3,C4u (44),used,C4,44,soft,Australian Grand Prix,2019
HAM,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
BOT,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
LEC,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
VER,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
VET,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
NOR,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
RAI,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
GAS,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
ALB,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
PER,0,C3n,new,C3,0,soft,Bahrain Grand Prix,2019
GIO,0,C3n,new,C3,0,soft,Bahrain Grand Prix,2019
KVY,0,C3n,new,C3,0,soft,Bahrain Grand Prix,2019
MAG,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
STR,0,C3n,new,C3,0,soft,Bahrain Grand Prix,2019
RUS,0,C3n,new,C3,0,soft,Bahrain Grand Prix,2019
KUB,0,C2n,new,C2,0,medium,Bahrain Grand Prix,2019
HUL,0,C3n,new,C3,0,soft,Bahrain Grand Prix,2019
RIC,0,C3n,new,C3,0,soft,Bahrain Grand Prix,2019
SAI,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
GRO,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
HAM,1,C3n (13),new,C3,13,soft,Bahrain Grand Prix,2019
BOT,1,C2n (12),new,C2,12,medium,Bahrain Grand Prix,2019
LEC,1,C2n (13),new,C2,13,medium,Bahrain Grand Prix,2019
VER,1,C2n (11),new,C2,11,medium,Bahrain Grand Prix,2019
VET,1,C2n (14),new,C2,14,medium,Bahrain Grand Prix,2019
NOR,1,C2n (10),new,C2,10,medium,Bahrain Grand Prix,2019
RAI,1,C2n (9),new,C2,9,medium,Bahrain Grand Prix,2019
GAS,1,C3n (9),new,C3,9,soft,Bahrain Grand Prix,2019
ALB,1,C3n (9),new,C3,9,soft,Bahrain Grand Prix,2019
PER,1,C2n (8),new,C2,8,medium,Bahrain Grand Prix,2019
GIO,1,C2n (16),new,C2,16,medium,Bahrain Grand Prix,2019
KVY,1,C2n (12),new,C2,12,medium,Bahrain Grand Prix,2019
MAG,1,C2n (10),new,C2,10,medium,Bahrain Grand Prix,2019
STR,1,C2n (1),new,C2,1,medium,Bahrain Grand Prix,2019
RUS,1,C2n (12),new,C2,12,medium,Bahrain Grand Prix,2019
KUB,1,C3n (11),new,C3,11,soft,Bahrain Grand Prix,2019
HUL,1,C3n (12),new,C3,12,soft,Bahrain Grand Prix,2019
RIC,1,C2n (24),new,C2,24,medium,Bahrain Grand Prix,2019
SAI,1,C2n (4),new,C2,4,medium,Bahrain Grand Prix,2019
GRO,1,C2n (1),new,C2,1,medium,Bahrain Grand Prix,2019
HAM,2,C2n (34),new,C2,34,medium,Bahrain Grand Prix,2019
BOT,2,C3u (37),used,C3,37,soft,Bahrain Grand Prix,2019
LEC,2,C2n (36),new,C2,36,medium,Bahrain Grand Prix,2019
VER,2,C2n (32),new,C2,32,medium,Bahrain Grand Prix,2019
VET,2,C2n (35),new,C2,35,medium,Bahrain Grand Prix,2019
NOR,2,C3u (34),used,C3,34,soft,Bahrain Grand Prix,2019
RAI,2,C3u (33),used,C3,33,soft,Bahrain Grand Prix,2019
GAS,2,C2n (39),new,C2,39,medium,Bahrain Grand Prix,2019
ALB,2,C2n (25),new,C2,25,medium,Bahrain Grand Prix,2019
PER,2,C2n (33),new,C2,33,medium,Bahrain Grand Prix,2019
GIO,2,C3n (40),new,C3,40,soft,Bahrain Grand Prix,2019
KVY,2,C3n (38),new,C3,38,soft,Bahrain Grand Prix,2019
MAG,2,C3u (38),used,C3,38,soft,Bahrain Grand Prix,2019
STR,2,C2n (23),new,C2,23,medium,Bahrain Grand Prix,2019
RUS,2,C2n (26),new,C2,26,medium,Bahrain Grand Prix,2019
KUB,2,C2u (27),used,C2,27,medium,Bahrain Grand Prix,2019
HUL,2,C2n (32),new,C2,32,medium,Bahrain Grand Prix,2019
SAI,2,C1u (24),used,C1,24,hard,Bahrain Grand Prix,2019
VET,3,C3u (38),used,C3,38,soft,Bahrain Grand Prix,2019
SAI,3,C3u (40),used,C3,40,soft,Bahrain Grand Prix,2019
HAM,0,C3u,used,C3,0,medium,Chinese Grand Prix,2019
BOT,0,C3u,used,C3,0,medium,Chinese Grand Prix,2019
VET,0,C3u,used,C3,0,medium,Chinese Grand Prix,2019
VER,0,C3u,used,C3,0,medium,Chinese Grand Prix,2019
LEC,0,C3u,used,C3,0,medium,Chinese Grand Prix,2019
GAS,0,C4u,used,C4,0,soft,Chinese Grand Prix,2019
RIC,0,C4u,used,C4,0,soft,Chinese Grand Prix,2019
PER,0,C3n,new,C3,0,medium,Chinese Grand Prix,2019
RAI,0,C3n,new,C3,0,medium,Chinese Grand Prix,2019
ALB,0,C4u,used,C4,0,soft,Chinese Grand Prix,2019
GRO,0,C4u,used,C4,0,soft,Chinese Grand Prix,2019
STR,0,C3n,new,C3,0,medium,Chinese Grand Prix,2019
MAG,0,C4u,used,C4,0,soft,Chinese Grand Prix,2019
SAI,0,C3n,new,C3,0,medium,Chinese Grand Prix,2019
GIO,0,C4u,used,C4,0,soft,Chinese Grand Prix,2019
RUS,0,C3n,new,C3,0,medium,Chinese Grand Prix,2019
KUB,0,C3n,new,C3,0,medium,Chinese Grand Prix,2019
NOR,0,C3n,new,C3,0,medium,Chinese Grand Prix,2019
KVY,0,C3n,new,C3,0,medium,Chinese Grand Prix,2019
HUL,0,C4u,used,C4,0,soft,Chinese Grand Prix,2019
HAM,1,C2n (22),new,C2,22,hard,Chinese Grand Prix,2019
BOT,1,C2n (21),new,C2,21,hard,Chinese Grand Prix,2019
VET,1,C2n (18),new,C2,18,hard,Chinese Grand Prix,2019
VER,1,C2n (17),new,C2,17,hard,Chinese Grand Prix,2019
LEC,1,C2n (22),new,C2,22,hard,Chinese Grand Prix,2019
GAS,1,C2n (19),new,C2,19,hard,Chinese Grand Prix,2019
RIC,1,C2n (18),new,C2,18,hard,Chinese Grand Prix,2019
PER,1,C2n (20),new,C2,20,hard,Chinese Grand Prix,2019
RAI,1,C2n (25),new,C2,25,hard,Chinese Grand Prix,2019
ALB,1,C2n (19),new,C2,19,hard,Chinese Grand Prix,2019
GRO,1,C2n (8),new,C2,8,hard,Chinese Grand Prix,2019
STR,1,C2n (20),new,C2,20,hard,Chinese Grand Prix,2019
MAG,1,C2n (9),new,C2,9,hard,Chinese Grand Prix,2019
SAI,1,C2n (1),new,C2,1,hard,Chinese Grand Prix,2019
GIO,1,C3n (7),new,C3,7,medium,Chinese Grand Prix,2019
RUS,1,C2n (22),new,C2,22,hard,Chinese Grand Prix,2019
KUB,1,C2n (26),new,C2,26,hard,Chinese Grand Prix,2019
NOR,1,C2n (1),new,C2,1,hard,Chinese Grand Prix,2019
KVY,1,C2n (25),new,C2,25,hard,Chinese Grand Prix,2019
HUL,1,C2n (11),new,C2,11,hard,Chinese Grand Prix,2019
HAM,2,C3u (36),used,C3,36,medium,Chinese Grand Prix,2019
BOT,2,C3n (36),new,C3,36,medium,Chinese Grand Prix,2019
VET,2,C3n (35),new,C3,35,medium,Chinese Grand Prix,2019
VER,2,C3n (34),new,C3,34,medium,Chinese Grand Prix,2019
LEC,2,C3n (42),new,C3,42,medium,Chinese Grand Prix,2019
GAS,2,C3n (39),new,C3,39,medium,Chinese Grand Prix,2019
GRO,2,C3n (35),new,C3,35,medium,Chinese Grand Prix,2019
STR,2,C4n (44),new,C4,44,soft,Chinese Grand Prix,2019
MAG,2,C3n (33),new,C3,33,medium,Chinese Grand Prix,2019
SAI,2,C4n (36),new,C4,36,soft,Chinese Grand Prix,2019
GIO,2,C3n (30),new,C3,30,medium,Chinese Grand Prix,2019
RUS,2,C4n (49),new,C4,49,soft,Chinese Grand Prix,2019
NOR,2,C3u (17),used,C3,17,medium,Chinese Grand Prix,2019
KVY,2,C4n (30),new,C4,30,soft,Chinese Grand Prix,2019
GAS,3,C4u (53),used,C4,53,soft,Chinese Grand Prix,2019
NOR,3,C4n (34),new,C4,34,soft,Chinese Grand Prix,2019
BOT,0,C4u,used,C4,0,soft,Azerbaijan Grand Prix,2019
HAM,0,C4u,used,C4,0,soft,Azerbaijan Grand Prix,2019
VET,0,C4u,used,C4,0,soft,Azerbaijan Grand Prix,2019
VER,0,C4u,used,C4,0,soft,Azerbaijan Grand Prix,2019
LEC,0,C3n,new,C3,0,medium,Azerbaijan Grand Prix,2019
PER,0,C4u,used,C4,0,soft,Azerbaijan Grand Prix,2019
SAI,0,C4n,new,C4,0,soft,Azerbaijan Grand Prix,2019
NOR,0,C4u,used,C4,0,soft,Azerbaijan Grand Prix,2019
STR,0,C4n,new,C4,0,soft,Azerbaijan Grand Prix,2019
RAI,0,C4u,used,C4,0,soft,Azerbaijan Grand Prix,2019
ALB,0,C4n,new,C4,0,soft,Azerbaijan Grand Prix,2019
GIO,0,C4u,used,C4,0,soft,Azerbaijan Grand Prix,2019
MAG,0,C4u,used,C4,0,soft,Azerbaijan Grand Prix,2019
HUL,0,C4n,new,C4,0,soft,Azerbaijan Grand Prix,2019
RUS,0,C3n,new,C3,0,medium,Azerbaijan Grand Prix,2019
KUB,0,C3n,new,C3,0,medium,Azerbaijan Grand Prix,2019
GAS,0,C3n,new,C3,0,medium,Azerbaijan Grand Prix,2019
GRO,0,C3n,new,C3,0,medium,Azerbaijan Grand Prix,2019
KVY,0,C4u,used,C4,0,soft,Azerbaijan Grand Prix,2019
RIC,0,C4n,new,C4,0,soft,Azerbaijan Grand Prix,2019
BOT,1,C3n (12),new,C3,12,medium,Azerbaijan Grand Prix,2019
HAM,1,C3n (13),new,C3,13,medium,Azerbaijan Grand Prix,2019
VET,1,C3n (11),new,C3,11,medium,Azerbaijan Grand Prix,2019
VER,1,C3n (14),new,C3,14,medium,Azerbaijan Grand Prix,2019
LEC,1,C4n (34),new,C4,34,soft,Azerbaijan Grand Prix,2019
PER,1,C3n (10),new,C3,10,medium,Azerbaijan Grand Prix,2019
SAI,1,C3n (12),new,C3,12,medium,Azerbaijan Grand Prix,2019
NOR,1,C3n (9),new,C3,9,medium,Azerbaijan Grand Prix,2019
STR,1,C3n (10),new,C3,10,medium,Azerbaijan Grand Prix,2019
RAI,1,C3n (6),new,C3,6,medium,Azerbaijan Grand Prix,2019
ALB,1,C3n (12),new,C3,12,medium,Azerbaijan Grand Prix,2019
GIO,1,C3n (7),new,C3,7,medium,Azerbaijan Grand Prix,2019
MAG,1,C3n (7),new,C3,7,medium,Azerbaijan Grand Prix,2019
HUL,1,C3n (8),new,C3,8,medium,Azerbaijan Grand Prix,2019
RUS,1,C3n (25),new,C3,25,medium,Azerbaijan Grand Prix,2019
KUB,1,C3n (23),new,C3,23,medium,Azerbaijan Grand Prix,2019
GRO,1,C4u (34),used,C4,34,soft,Azerbaijan Grand Prix,2019
KVY,1,C3n (5),new,C3,5,medium,Azerbaijan Grand Prix,2019
RIC,1,C3n (10),new,C3,10,medium,Azerbaijan Grand Prix,2019
LEC,2,C4n (47),new,C4,47,soft,Azerbaijan Grand Prix,2019
NOR,2,C4u (39),used,C4,39,soft,Azerbaijan Grand Prix,2019
MAG,2,C4n (39),new,C4,39,soft,Azerbaijan Grand Prix,2019
HUL,2,C4n (34),new,C4,34,soft,Azerbaijan Grand Prix,2019
RUS,2,C4n (38),new,C4,38,soft,Azerbaijan Grand Prix,2019
KUB,2,C4n (42),new,C4,42,soft,Azerbaijan Grand Prix,2019
HAM,0,C3u,used,C3,0,soft,Spanish Grand Prix,2019
BOT,0,C3u,used,C3,0,soft,Spanish Grand Prix,2019
VER,0,C3u,used,C3,0,soft,Spanish Grand Prix,2019
VET,0,C3u,used,C3,0,soft,Spanish Grand Prix,2019
LEC,0,C3u,used,C3,0,soft,Spanish Grand Prix,2019
GAS,0,C3u,used,C3,0,soft,Spanish Grand Prix,2019
MAG,0,C3u,used,C3,0,soft,Spanish Grand Prix,2019
SAI,0,C3n,new,C3,0,soft,Spanish Grand Prix,2019
KVY,0,C3u,used,C3,0,soft,Spanish Grand Prix,2019
GRO,0,C3u,used,C3,0,soft,Spanish Grand Prix,2019
ALB,0,C3n,new,C3,0,soft,Spanish Grand Prix,2019
RIC,0,C3u,used,C3,0,soft,Spanish Grand Prix,2019
HUL,0,C2n,new,C2,0,medium,Spanish Grand Prix,2019
RAI,0,C2n,new,C2,0,medium,Spanish Grand Prix,2019
PER,0,C3n,new,C3,0,soft,Spanish Grand Prix,2019
GIO,0,C3n,new,C3,0,soft,Spanish Grand Prix,2019
RUS,0,C2n,new,C2,0,medium,Spanish Grand Prix,2019
KUB,0,C2n,new,C2,0,medium,Spanish Grand Prix,2019
STR,0,C2n,new,C2,0,medium,Spanish Grand Prix,2019
NOR,0,C3n,new,C3,0,soft,Spanish Grand Prix,2019
HAM,1,C2n (27),new,C2,27,medium,Spanish Grand Prix,2019
BOT,1,C2n (26),new,C2,26,medium,Spanish Grand Prix,2019
VER,1,C3n (20),new,C3,20,soft,Spanish Grand Prix,2019
VET,1,C2n (19),new,C2,19,medium,Spanish Grand Prix,2019
LEC,1,C1n (25),new,C1,25,hard,Spanish Grand Prix,2019
GAS,1,C2n (22),new,C2,22,medium,Spanish Grand Prix,2019
MAG,1,C2n (23),new,C2,23,medium,Spanish Grand Prix,2019
SAI,1,C2n (24),new,C2,24,medium,Spanish Grand Prix,2019
KVY,1,C2n (21),new,C2,21,medium,Spanish Grand Prix,2019
GRO,1,C2n (26),new,C2,26,medium,Spanish Grand Prix,2019
ALB,1,C2n (25),new,C2,25,medium,Spanish Grand Prix,2019
RIC,1,C1n (24),new,C1,24,hard,Spanish Grand Prix,2019
HUL,1,C3n (35),new,C3,35,soft,Spanish Grand Prix,2019
RAI,1,C1n (28),new,C1,28,hard,Spanish Grand Prix,2019
PER,1,C2n (24),new,C2,24,medium,Spanish Grand Prix,2019
GIO,1,C1n (6),new,C1,6,hard,Spanish Grand Prix,2019
RUS,1,C3n (32),new,C3,32,soft,Spanish Grand Prix,2019
KUB,1,C3n (31),new,C3,31,soft,Spanish Grand Prix,2019
STR,1,C3n (22),new,C3,22,soft,Spanish Grand Prix,2019
NOR,1,C2n (26),new,C2,26,medium,Spanish Grand Prix,2019
HAM,2,C3u (46),used,C3,46,soft,Spanish Grand Prix,2019
BOT,2,C3u (45),used,C3,45,soft,Spanish Grand Prix,2019
VER,2,C2n (43),new,C2,43,medium,Spanish Grand Prix,2019
VET,2,C2n (40),new,C2,40,medium,Spanish Grand Prix,2019
LEC,2,C2n (46),new,C2,46,medium,Spanish Grand Prix,2019
GAS,2,C3u (46),used,C3,46,soft,Spanish Grand Prix,2019
MAG,2,C3u (45),used,C3,45,soft,Spanish Grand Prix,2019
SAI,2,C3u (46),used,C3,46,soft,Spanish Grand Prix,2019
KVY,2,C2n (45),new,C2,45,medium,Spanish Grand Prix,2019
GRO,2,C3u (46),used,C3,46,soft,Spanish Grand Prix,2019
ALB,2,C2n (45),new,C2,45,medium,Spanish Grand Prix,2019
RIC,2,C2n (45),new,C2,45,medium,Spanish Grand Prix,2019
RAI,2,C3n (45),new,C3,45,soft,Spanish Grand Prix,2019
PER,2,C3u (45),used,C3,45,soft,Spanish Grand Prix,2019
GIO,2,C3n (41),new,C3,41,soft,Spanish Grand Prix,2019
RUS,2,C2n (44),new,C2,44,medium,Spanish Grand Prix,2019
KUB,2,C2n (44),new,C2,44,medium,Spanish Grand Prix,2019
HAM,0,C5u,used,C5,0,soft,Monaco Grand Prix,2019
VET,0,C5u,used,C5,0,soft,Monaco Grand Prix,2019
BOT,0,C5u,used,C5,0,soft,Monaco Grand Prix,2019
VER,0,C5u,used,C5,0,soft,Monaco Grand Prix,2019
GAS,0,C5u,used,C5,0,soft,Monaco Grand Prix,2019
SAI,0,C5u,used,C5,0,soft,Monaco Grand Prix,2019
KVY,0,C5u,used,C5,0,soft,Monaco Grand Prix,2019
ALB,0,C5u,used,C5,0,soft,Monaco Grand Prix,2019
KVY,0,C5u,used,C5,0,soft,Monaco Grand Prix,2019
RIC,0,C5u,used,C5,0,soft,Monaco Grand Prix,2019
GRO,0,C5n,new,C5,0,soft,Monaco Grand Prix,2019
NOR,0,C4n,new,C4,0,medium,Monaco Grand Prix,2019
MAG,0,C5u,used,C5,0,soft,Monaco Grand Prix,2019
PER,0,C4n,new,C4,0,medium,Monaco Grand Prix,2019
HUL,0,C4n,new,C4,0,medium,Monaco Grand Prix,2019
RUS,0,C4n,new,C4,0,medium,Monaco Grand Prix,2019
STR,0,C4n,new,C4,0,medium,Monaco Grand Prix,2019
RAI,0,C5n,new,C5,0,soft,Monaco Grand Prix,2019
KUB,0,C4n,new,C4,0,medium,Monaco Grand Prix,2019
GIO,0,C5n,new,C5,0,soft,Monaco Grand Prix,2019
LEC,0,C4n,new,C4,0,medium,Monaco Grand Prix,2019
HAM,1,C4n (11),new,C4,11,medium,Monaco Grand Prix,2019
VET,1,C3n (11),new,C3,11,hard,Monaco Grand Prix,2019
BOT,1,C4n (11),new,C4,11,medium,Monaco Grand Prix,2019
VER,1,C3n (11),new,C3,11,hard,Monaco Grand Prix,2019
GAS,1,C4n (27),new,C4,27,medium,Monaco Grand Prix,2019
SAI,1,C4n (30),new,C4,30,medium,Monaco Grand Prix,2019
KVY,1,C4n (32),new,C4,32,medium,Monaco Grand Prix,2019
ALB,1,C4n (40),new,C4,40,medium,Monaco Grand Prix,2019
KVY,1,C2n (21),new,C2,21,,Monaco Grand Prix,2019
RIC,1,C4n (11),new,C4,11,medium,Monaco Grand Prix,2019
GRO,1,C4n (50),new,C4,50,medium,Monaco Grand Prix,2019
NOR,1,C5n (47),new,C5,47,soft,Monaco Grand Prix,2019
MAG,1,C4n (11),new,C4,11,medium,Monaco Grand Prix,2019
PER,1,C3n (11),new,C3,11,hard,Monaco Grand Prix,2019
HUL,1,C3n (9),new,C3,9,hard,Monaco Grand Prix,2019
RUS,1,C3n (10),new,C3,10,hard,Monaco Grand Prix,2019
STR,1,C3n (39),new,C3,39,hard,Monaco Grand Prix,2019
RAI,1,C4n (46),new,C4,46,medium,Monaco Grand Prix,2019
KUB,1,C3n (21),new,C3,21,hard,Monaco Grand Prix,2019
GIO,1,C4n (44),new,C4,44,medium,Monaco Grand Prix,2019
LEC,1,C3n (9),new,C3,9,hard,Monaco Grand Prix,2019
BOT,2,C3n (12),new,C3,12,hard,Monaco Grand Prix,2019
GAS,2,C5u (62),used,C5,62,soft,Monaco Grand Prix,2019
LEC,2,C5n (16),new,C5,16,soft,Monaco Grand Prix,2019
HAM,0,C4u,used,C4,0,medium,Canadian Grand Prix,2019
VET,0,C4u,used,C4,0,medium,Canadian Grand Prix,2019
LEC,0,C4u,used,C4,0,medium,Canadian Grand Prix,2019
BOT,0,C4u,used,C4,0,medium,Canadian Grand Prix,2019
VER,0,C3n,new,C3,0,hard,Canadian Grand Prix,2019
RIC,0,C5u,used,C5,0,soft,Canadian Grand Prix,2019
HUL,0,C5u,used,C5,0,soft,Canadian Grand Prix,2019
GAS,0,C5u,used,C5,0,soft,Canadian Grand Prix,2019
STR,0,C3n,new,C3,0,hard,Canadian Grand Prix,2019
KVY,0,C4n,new,C4,0,medium,Canadian Grand Prix,2019
SAI,0,C5u,used,C5,0,soft,Canadian Grand Prix,2019
PER,0,C4n,new,C4,0,medium,Canadian Grand Prix,2019
GIO,0,C3n,new,C3,0,hard,Canadian Grand Prix,2019
GRO,0,C4n,new,C4,0,medium,Canadian Grand Prix,2019
RAI,0,C4u,used,C4,0,medium,Canadian Grand Prix,2019
RUS,0,C4n,new,C4,0,medium,Canadian Grand Prix,2019
MAG,0,C3n,new,C3,0,hard,Canadian Grand Prix,2019
KUB,0,C4n,new,C4,0,medium,Canadian Grand Prix,2019
ALB,0,C4n,new,C4,0,medium,Canadian Grand Prix,2019
NOR,0,C5u,used,C5,0,soft,Canadian Grand Prix,2019
HAM,1,C3n (28),new,C3,28,hard,Canadian Grand Prix,2019
VET,1,C3u (26),used,C3,26,hard,Canadian Grand Prix,2019
LEC,1,C3u (33),used,C3,33,hard,Canadian Grand Prix,2019
BOT,1,C3n (30),new,C3,30,hard,Canadian Grand Prix,2019
VER,1,C4u (48),used,C4,48,medium,Canadian Grand Prix,2019
RIC,1,C3n (8),new,C3,8,hard,Canadian Grand Prix,2019
HUL,1,C3n (16),new,C3,16,hard,Canadian Grand Prix,2019
GAS,1,C3n (7),new,C3,7,hard,Canadian Grand Prix,2019
STR,1,C4n (45),new,C4,45,medium,Canadian Grand Prix,2019
KVY,1,C3n (12),new,C3,12,hard,Canadian Grand Prix,2019
SAI,1,C3n (3),new,C3,3,hard,Canadian Grand Prix,2019
PER,1,C3n (11),new,C3,11,hard,Canadian Grand Prix,2019
GIO,1,C4n (33),new,C4,33,medium,Canadian Grand Prix,2019
GRO,1,C3n (34),new,C3,34,hard,Canadian Grand Prix,2019
RAI,1,C3n (6),new,C3,6,hard,Canadian Grand Prix,2019
RUS,1,C3n (9),new,C3,9,hard,Canadian Grand Prix,2019
MAG,1,C4n (39),new,C4,39,medium,Canadian Grand Prix,2019
KUB,1,C3n (8),new,C3,8,hard,Canadian Grand Prix,2019
ALB,1,C3n (1),new,C3,1,hard,Canadian Grand Prix,2019
BOT,2,C5u (67),used,C5,67,soft,Canadian Grand Prix,2019
RAI,2,C5n (58),new,C5,58,soft,Canadian Grand Prix,2019
KUB,2,C3n (38),new,C3,38,hard,Canadian Grand Prix,2019
HAM,0,C3u,used,C3,0,medium,French Grand Prix,2019
BOT,0,C3u,used,C3,0,medium,French Grand Prix,2019
LEC,0,C3u,used,C3,0,medium,French Grand Prix,2019
VER,0,C3u,used,C3,0,medium,French Grand Prix,2019
VET,0,C3u,used,C3,0,medium,French Grand Prix,2019
SAI,0,C3u,used,C3,0,medium,French Grand Prix,2019
RIC,0,C3u,used,C3,0,medium,French Grand Prix,2019
RAI,0,C2n,new,C2,0,hard,French Grand Prix,2019
HUL,0,C2n,new,C2,0,hard,French Grand Prix,2019
NOR,0,C3u,used,C3,0,medium,French Grand Prix,2019
GAS,0,C4u,used,C4,0,soft,French Grand Prix,2019
PER,0,C3n,new,C3,0,medium,French Grand Prix,2019
STR,0,C2n,new,C2,0,hard,French Grand Prix,2019
KVY,0,C2n,new,C2,0,hard,French Grand Prix,2019
ALB,0,C3n,new,C3,0,medium,French Grand Prix,2019
GIO,0,C4u,used,C4,0,soft,French Grand Prix,2019
MAG,0,C3n,new,C3,0,medium,French Grand Prix,2019
KUB,0,C3n,new,C3,0,medium,French Grand Prix,2019
RUS,0,C3n,new,C3,0,medium,French Grand Prix,2019
GRO,0,C2n,new,C2,0,hard,French Grand Prix,2019
HAM,1,C2n (24),new,C2,24,hard,French Grand Prix,2019
BOT,1,C2n (23),new,C2,23,hard,French Grand Prix,2019
LEC,1,C2u (21),used,C2,21,hard,French Grand Prix,2019
VER,1,C2n (20),new,C2,20,hard,French Grand Prix,2019
VET,1,C2n (25),new,C2,25,hard,French Grand Prix,2019
SAI,1,C2n (19),new,C2,19,hard,French Grand Prix,2019
RIC,1,C2n (16),new,C2,16,hard,French Grand Prix,2019
RAI,1,C3u (31),used,C3,31,medium,French Grand Prix,2019
HUL,1,C3u (34),used,C3,34,medium,French Grand Prix,2019
NOR,1,C2n (18),new,C2,18,hard,French Grand Prix,2019
GAS,1,C2n (17),new,C2,17,hard,French Grand Prix,2019
PER,1,C2n (18),new,C2,18,hard,French Grand Prix,2019
STR,1,C3n (39),new,C3,39,medium,French Grand Prix,2019
KVY,1,C3n (32),new,C3,32,medium,French Grand Prix,2019
ALB,1,C2n (25),new,C2,25,hard,French Grand Prix,2019
GIO,1,C2n (7),new,C2,7,hard,French Grand Prix,2019
MAG,1,C2n (16),new,C2,16,hard,French Grand Prix,2019
KUB,1,C2n (24),new,C2,24,hard,French Grand Prix,2019
RUS,1,C2n (25),new,C2,25,hard,French Grand Prix,2019
GRO,1,C3n (31),new,C3,31,medium,French Grand Prix,2019
VET,2,C4n (51),new,C4,51,soft,French Grand Prix,2019
GIO,2,C3n (34),new,C3,34,medium,French Grand Prix,2019
RUS,2,C3n (33),new,C3,33,medium,French Grand Prix,2019
VER,0,C3u,used,C3,0,medium,Austrian Grand Prix,2019
LEC,0,C4u,used,C4,0,soft,Austrian Grand Prix,2019
BOT,0,C3u,used,C3,0,medium,Austrian Grand Prix,2019
VET,0,C4u,used,C4,0,soft,Austrian Grand Prix,2019
HAM,0,C3u,used,C3,0,medium,Austrian Grand Prix,2019
NOR,0,C4u,used,C4,0,soft,Austrian Grand Prix,2019
GAS,0,C4u,used,C4,0,soft,Austrian Grand Prix,2019
SAI,0,C3n,new,C3,0,medium,Austrian Grand Prix,2019
RAI,0,C4u,used,C4,0,soft,Austrian Grand Prix,2019
